
RAMBO Results:
R=3, B=50, n=10000000, p=0.2: FP=0.2500, Time=0.0355ms, Mem=599.00MB
R=3, B=50, n=15000000, p=0.01: FP=0.2500, Time=0.0879ms, Mem=2570.91MB
R=3, B=50, n=15000000, p=0.1: FP=0.2500, Time=0.0351ms, Mem=1285.46MB
R=3, B=50, n=15000000, p=0.2: FP=0.2500, Time=0.0334ms, Mem=898.50MB
R=3, B=50, n=20000000, p=0.01: FP=0.2500, Time=0.1780ms, Mem=3427.88MB
R=3, B=50, n=20000000, p=0.1: FP=0.2500, Time=0.0370ms, Mem=1713.94MB
R=3, B=50, n=20000000, p=0.2: FP=0.2500, Time=0.0356ms, Mem=1197.99MB
R=4, B=50, n=10000000, p=0.01: FP=0.2500, Time=0.1233ms, Mem=2285.26MB
R=4, B=50, n=10000000, p=0.1: FP=0.2500, Time=0.0426ms, Mem=1142.63MB
R=4, B=50, n=10000000, p=0.2: FP=0.2500, Time=0.0398ms, Mem=798.66MB
R=4, B=50, n=15000000, p=0.01: FP=0.2500, Time=0.2002ms, Mem=3427.88MB
R=4, B=50, n=15000000, p=0.1: FP=0.2500, Time=0.0673ms, Mem=1713.94MB
R=4, B=50, n=15000000, p=0.2: FP=0.2500, Time=0.0467ms, Mem=1197.99MB
R=4, B=50, n=20000000, p=0.01: FP=0.2500, Time=0.3774ms, Mem=4570.51MB
R=4, B=50, n=20000000, p=0.1: FP=0.2500, Time=0.0516ms, Mem=2285.26MB
R=4, B=50, n=20000000, p=0.2: FP=0.2500, Time=0.0652ms, Mem=1597.33MB
R=2, B=35, n=10000000, p=0.01: FP=0.2500, Time=0.0205ms, Mem=799.84MB
R=2, B=35, n=10000000, p=0.1: FP=0.2500, Time=0.0152ms, Mem=399.92MB
R=2, B=35, n=10000000, p=0.2: FP=0.2500, Time=0.0162ms, Mem=279.53MB
R=2, B=40, n=10000000, p=0.01: FP=0.2500, Time=0.0177ms, Mem=914.10MB
R=2, B=40, n=10000000, p=0.1: FP=0.2500, Time=0.0192ms, Mem=457.05MB
R=2, B=40, n=10000000, p=0.2: FP=0.2500, Time=0.0181ms, Mem=319.47MB
R=2, B=45, n=10000000, p=0.01: FP=0.2500, Time=0.0233ms, Mem=1028.37MB
R=2, B=45, n=10000000, p=0.1: FP=0.2500, Time=0.0209ms, Mem=514.18MB
R=2, B=45, n=10000000, p=0.2: FP=0.2500, Time=0.0200ms, Mem=359.40MB
R=2, B=50, n=10000000, p=0.01: FP=0.2500, Time=0.0258ms, Mem=1142.63MB
R=2, B=50, n=10000000, p=0.1: FP=0.2500, Time=0.0225ms, Mem=571.31MB
R=2, B=50, n=10000000, p=0.2: FP=0.2500, Time=0.0203ms, Mem=399.33MB
R=2, B=55, n=10000000, p=0.01: FP=0.2500, Time=0.0276ms, Mem=1256.89MB
R=2, B=55, n=10000000, p=0.1: FP=0.2500, Time=0.0263ms, Mem=628.45MB
R=2, B=55, n=10000000, p=0.2: FP=0.2500, Time=0.0285ms, Mem=439.26MB
R=2, B=60, n=10000000, p=0.01: FP=0.3555, Time=0.0300ms, Mem=1371.15MB
R=2, B=60, n=10000000, p=0.1: FP=0.3555, Time=0.0267ms, Mem=685.58MB
R=2, B=60, n=10000000, p=0.2: FP=0.3555, Time=0.0250ms, Mem=479.20MB
R=3, B=35, n=10000000, p=0.01: FP=0.2500, Time=0.0311ms, Mem=1199.76MB
R=3, B=35, n=10000000, p=0.1: FP=0.2500, Time=0.0243ms, Mem=599.88MB
R=3, B=35, n=10000000, p=0.2: FP=0.2500, Time=0.0216ms, Mem=419.30MB
R=3, B=40, n=10000000, p=0.01: FP=0.2500, Time=0.0310ms, Mem=1371.15MB
R=3, B=40, n=10000000, p=0.1: FP=0.2500, Time=0.0274ms, Mem=685.58MB
R=3, B=40, n=10000000, p=0.2: FP=0.2500, Time=0.0278ms, Mem=479.20MB
R=3, B=45, n=10000000, p=0.01: FP=0.2500, Time=0.0332ms, Mem=1542.55MB
R=3, B=45, n=10000000, p=0.1: FP=0.2500, Time=0.0277ms, Mem=771.27MB
R=3, B=45, n=10000000, p=0.2: FP=0.2500, Time=0.0283ms, Mem=539.10MB
R=3, B=50, n=10000000, p=0.01: FP=0.2500, Time=0.0329ms, Mem=1713.94MB
R=3, B=50, n=10000000, p=0.1: FP=0.2500, Time=0.0292ms, Mem=856.97MB
R=3, B=50, n=10000000, p=0.2: FP=0.2500, Time=0.0299ms, Mem=599.00MB
R=3, B=55, n=10000000, p=0.01: FP=0.2500, Time=0.0444ms, Mem=1885.34MB
R=3, B=55, n=10000000, p=0.1: FP=0.2500, Time=0.0374ms, Mem=942.67MB
R=3, B=55, n=10000000, p=0.2: FP=0.2500, Time=0.0348ms, Mem=658.90MB
R=3, B=60, n=10000000, p=0.01: FP=0.3555, Time=0.0646ms, Mem=2056.73MB
R=3, B=60, n=10000000, p=0.1: FP=0.3555, Time=0.0404ms, Mem=1028.37MB
R=3, B=60, n=10000000, p=0.2: FP=0.3555, Time=0.0417ms, Mem=718.80MB
R=4, B=35, n=10000000, p=0.01: FP=0.2500, Time=0.0509ms, Mem=1599.68MB
R=4, B=35, n=10000000, p=0.1: FP=0.2500, Time=0.0317ms, Mem=799.84MB
R=4, B=35, n=10000000, p=0.2: FP=0.2500, Time=0.0307ms, Mem=559.06MB
R=4, B=40, n=10000000, p=0.01: FP=0.2500, Time=0.0874ms, Mem=1828.20MB
R=4, B=40, n=10000000, p=0.1: FP=0.2500, Time=0.0403ms, Mem=914.10MB
R=4, B=40, n=10000000, p=0.2: FP=0.2500, Time=0.0345ms, Mem=638.93MB
R=4, B=45, n=10000000, p=0.01: FP=0.2500, Time=0.0889ms, Mem=2056.73MB
R=4, B=45, n=10000000, p=0.1: FP=0.2500, Time=0.0779ms, Mem=1028.37MB
R=4, B=45, n=10000000, p=0.2: FP=0.2500, Time=0.0514ms, Mem=718.80MB
R=4, B=50, n=10000000, p=0.01: FP=0.2500, Time=0.0635ms, Mem=2285.26MB
R=4, B=50, n=10000000, p=0.1: FP=0.2500, Time=0.0594ms, Mem=1142.63MB
R=4, B=50, n=10000000, p=0.2: FP=0.2500, Time=0.0512ms, Mem=798.66MB
R=4, B=55, n=10000000, p=0.01: FP=0.2500, Time=0.1241ms, Mem=2513.78MB
R=4, B=55, n=10000000, p=0.1: FP=0.2500, Time=0.0524ms, Mem=1256.89MB
R=4, B=55, n=10000000, p=0.2: FP=0.2500, Time=0.0533ms, Mem=878.53MB
R=4, B=60, n=10000000, p=0.01: FP=0.3555, Time=0.2130ms, Mem=2742.31MB
R=4, B=60, n=10000000, p=0.1: FP=0.3555, Time=0.0564ms, Mem=1371.15MB
R=4, B=60, n=10000000, p=0.2: FP=0.3555, Time=0.0457ms, Mem=958.40MB
